Player,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12,2010-11,2009-10,2008-09,2007-08,2006-07,2005-06,2004-05,2003-04,2002-03,2001-02,2000-01,1999-00,1998-99,1997-98,1996-97
Mike Conley,21000000.0,36362297.0,34485728.0,32908043.0,31645208.0,29918259.0,11020949.0,9985847.0,9192126.0,8500933.0,7958184.0,6124122.0,4892198.0,4507857.0,4403897.0,,,,,,,,,,,
Gary Harris,20932143.0,20668016.0,19293739.0,17809649.0,2828436.0,1866648.0,1807390.0,1731792.0,,,,,,,,,,,,,,,,,,
Danilo Gallinari,20475000.0,20551333.0,23988775.0,23275852.0,22804028.0,16965640.0,15939389.0,12373844.0,11806559.0,11175531.0,5043618.0,4119173.0,3891085.0,3567963.0,,,,,,,,,,,,
Harrison Barnes,20284091.0,23413668.0,25613976.0,25992585.0,25635071.0,24931882.0,4409971.0,3476716.0,3402157.0,3312806.0,,,,,,,,,,,,,,,,
Jerami Grant,20002500.0,20077071.0,9913651.0,8985047.0,1690708.0,1105225.0,962123.0,1008706.0,,,,,,,,,,,,,,,,,,
Jarrett Allen,20000000.0,4120702.0,2521161.0,2193199.0,1900801.0,,,,,,,,,,,,,,,,,,,,,
Julius Randle,19800000.0,20914933.0,19092959.0,9316776.0,4602202.0,3682975.0,3566142.0,3416801.0,,,,,,,,,,,,,,,,,,
Fred VanVleet,19675926.0,22395683.0,9913651.0,9330627.0,1455904.0,612646.0,,,,,,,,,,,,,,,,,,,,
Zach LaVine,19500000.0,20551333.0,20684039.0,21025012.0,3551793.0,2526110.0,2445967.0,2343528.0,,,,,,,,,,,,,,,,,,
Goran Dragic,19348907.0,18970461.0,20384810.0,19525417.0,18856337.0,17914504.0,16830856.0,8549527.0,8726702.0,8879805.0,2537347.0,2458121.0,2312703.0,2110838.0,,,,,,,,,,,,
Spencer Dinwiddie,19314284.0,12071587.0,11249571.0,1785607.0,1690708.0,819166.0,962123.0,797955.0,,,,,,,,,,,,,,,,,,
