Player,2021/22,2021/22(*),2020/21,2020/21(*),2019/20,2019/20(*),2018/19,2018/19(*),2017/18,2017/18(*),2016/17,2016/17(*),2015/16,2015/16(*),2014/15,2014/15(*),2013/14,2013/14(*),2012/13,2012/13(*),2011/12,2011/12(*),2010/11,2010/11(*),2009/10,2009/10(*),2008/09,2008/09(*),2007/08,2007/08(*),2006/07,2006/07(*),2005/06,2005/06(*),2004/05,2004/05(*),2003/04,2003/04(*),2002/03,2002/03(*),2001/02,2001/02(*),2000/01,2000/01(*),1999/00,1999/00(*),1998/99,1998/99(*),1997/98,1997/98(*),1996/97,1996/97(*)
Nigel Williams-Goss,,,,,"$1,500,000","$1,591,079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elie Okobo,,,,,"$1,416,852","$1,502,883","$1,238,464","$1,335,319",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Broekhoff,,,,,"$1,416,852","$1,502,883","$838,464","$904,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deonte Burton,,,,,"$1,416,852","$1,502,883","$500,000","$539,102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan McRae,,,,,"$1,254,933","$1,331,132","$77,250","$83,291",,,"$874,636","$985,964","$172,971","$196,931",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dewan Hernandez,,,,,"$898,310","$952,855",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Williams,,,,,"$604,278","$640,969","$14,087,500","$15,189,224","$13,168,750","$14,606,342","$12,250,000","$13,809,242","$7,000,000","$7,969,694","$7,000,000","$7,979,558","$7,500,000","$8,726,702","$8,287,500","$9,812,185","$7,500,000","$9,027,564","$6,712,500","$8,367,212","$7,500,000","$9,447,316","$5,636,143","$6,998,229","$4,466,040","$5,823,823","$4,174,800","$5,590,322","$3,883,560","$5,424,923",,,,,,,,,,,,,,,,,,
Michael Kidd-Gilchrist,,,,,"$595,122","$631,257","$13,000,000","$14,016,675","$13,000,000","$14,419,170","$13,000,000","$14,654,706","$6,331,403","$7,208,478","$5,016,960","$5,719,018","$4,809,840","$5,596,539","$4,602,720","$5,449,501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troy Daniels,,,,,"$458,439","$486,275","$3,258,539","$3,513,375","$3,408,520","$3,780,617","$3,332,940","$3,757,173","$947,276","$1,078,500","$816,482","$930,738","$158,587","$184,525",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ky Bowman,,,,,"$350,189","$371,452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
