Player,2021/22,2021/22(*),2020/21,2020/21(*),2019/20,2019/20(*),2018/19,2018/19(*),2017/18,2017/18(*),2016/17,2016/17(*),2015/16,2015/16(*),2014/15,2014/15(*),2013/14,2013/14(*),2012/13,2012/13(*),2011/12,2011/12(*),2010/11,2010/11(*),2009/10,2009/10(*),2008/09,2008/09(*),2007/08,2007/08(*),2006/07,2006/07(*),2005/06,2005/06(*),2004/05,2004/05(*),2003/04,2003/04(*),2002/03,2002/03(*),2001/02,2001/02(*),2000/01,2000/01(*),1999/00,1999/00(*),1998/99,1998/99(*),1997/98,1997/98(*),1996/97,1996/97(*)
Ian Mahinmi,,,,,"$15,450,051","$16,388,177","$16,000,000","$17,251,292","$16,000,000","$17,746,671","$16,000,000","$18,036,561","$4,000,000","$4,554,111","$4,000,000","$4,559,747","$4,000,000","$4,654,241","$4,000,000","$4,735,896","$915,852","$1,102,388","$762,196","$950,086","$1,079,640","$1,359,960","$1,009,200","$1,253,093","$938,760","$1,224,165",,,,,,,,,,,,,,,,,,,,,,
Courtney Lee,,,,,"$12,759,670","$13,534,437","$12,253,780","$13,212,096","$11,747,890","$13,030,371","$11,242,000","$12,672,939","$5,675,000","$6,461,145","$5,450,000","$6,212,656","$5,225,000","$6,079,602","$5,000,000","$5,919,870","$2,225,093","$2,678,289","$1,409,040","$1,756,385","$1,264,440","$1,592,741","$1,176,240","$1,460,501",,,,,,,,,,,,,,,,,,,,,,,,
Marco Belinelli,,,,,"$5,846,154","$6,201,132","$6,153,846","$6,635,112","$7,082,277","$7,855,427","$6,333,333","$7,139,471","$6,060,606","$6,900,168","$2,873,750","$3,275,893","$2,750,000","$3,199,791","$1,957,000","$2,317,037","$3,377,604","$4,065,538","$2,380,270","$2,967,035","$1,547,640","$1,949,472","$1,446,720","$1,796,348","$1,345,800","$1,754,955",,,,,,,,,,,,,,,,,,,,,,
Kyle Korver,,,,,"$2,564,753","$2,720,484","$7,560,000","$8,151,235","$7,000,000","$7,764,168","$5,239,437","$5,906,339","$5,746,479","$6,542,526","$6,253,521","$7,128,619","$6,760,563","$7,866,323","$5,000,000","$5,919,870","$5,000,000","$6,018,376","$5,000,000","$6,232,560","$5,155,115","$6,493,600","$4,956,818","$6,154,731","$4,400,000","$5,737,705","$4,018,182","$5,380,601","$3,630,363","$5,071,234","$620,046","$888,054","$366,931","$542,698",,,,,,,,,,,,,,
Tyson Chandler,,,,,"$2,564,753","$2,720,484","$13,585,000","$14,647,425","$13,000,000","$14,419,170","$12,415,000","$13,995,244","$13,000,000","$14,800,861","$14,596,888","$16,639,532","$14,100,538","$16,406,827","$13,604,188","$16,107,005","$13,107,837","$15,777,579","$12,600,000","$15,706,051","$11,850,000","$14,926,759","$11,350,000","$14,092,953","$10,250,000","$13,366,245","$9,150,000","$12,252,431","$9,000,000","$12,572,051","$4,801,102","$6,876,332","$3,804,360","$5,626,725","$3,556,200","$5,370,791","$3,308,160","$5,049,515",,,,,,,,,,
Thabo Sefolosha,,,,,"$2,564,753","$2,720,484","$5,250,000","$5,660,580","$5,250,000","$5,823,126","$4,000,000","$4,509,140","$4,000,000","$4,554,111","$4,000,000","$4,559,747","$3,900,000","$4,537,885","$3,600,000","$4,262,306","$3,300,000","$3,972,128","$3,250,000","$4,051,164","$2,759,628","$3,476,143","$1,931,160","$2,397,863","$1,805,160","$2,353,971","$1,679,280","$2,248,662",,,,,,,,,,,,,,,,,,,,
Wilson Chandler,,,,,"$2,564,753","$2,720,484","$12,800,562","$13,801,640","$12,016,854","$13,328,697","$11,233,146","$12,662,958","$10,449,438","$11,896,975","$6,754,913","$7,700,175","$6,344,164","$7,381,817","$5,930,415","$7,021,457",,,"$2,130,482","$2,655,671","$1,255,440","$1,581,405","$1,173,480","$1,457,074","$1,091,640","$1,423,524",,,,,,,,,,,,,,,,,,,,,,
Vince Carter,,,,,"$2,564,753","$2,720,484","$2,393,887","$2,581,102","$8,000,000","$8,873,335","$4,264,057","$4,806,807","$4,088,019","$4,654,323","$3,911,981","$4,459,411","$3,180,000","$3,700,121","$3,120,000","$3,693,999","$21,300,000","$25,638,283","$17,300,000","$21,564,658","$16,300,000","$20,532,167","$14,724,125","$18,282,502","$13,320,000","$17,369,599","$15,101,625","$20,222,036","$13,843,156","$19,337,429","$12,584,688","$18,024,298","$11,326,219","$16,751,706","$10,067,750","$15,204,932","$3,073,032","$4,690,620","$2,425,440","$3,822,403","$2,267,280","$3,706,443","$1,760,000","$2,933,650",,,,
Skal Labissiere,,,,,"$2,338,846","$2,480,860","$1,544,951","$1,665,775","$1,312,611","$1,455,904","$1,188,840","$1,340,161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ante Zizic,,,,,"$2,281,800","$2,420,350","$1,952,760","$2,105,477","$1,645,200","$1,824,801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle O'Quinn,,,,,"$2,174,318","$2,306,342","$4,449,000","$4,796,937","$4,087,500","$4,533,720","$3,918,750","$4,417,548","$3,750,000","$4,269,479","$915,243","$1,043,319","$788,872","$917,900","$788,872","$934,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caleb Swanigan,,,,,"$2,033,160","$2,156,613","$1,740,000","$1,876,078","$1,465,920","$1,625,950",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shabazz Napier,,,,,"$1,845,301","$1,957,347","$1,942,422","$2,094,330","$2,361,359","$2,619,141","$1,350,120","$1,521,970","$1,294,440","$1,473,755","$1,238,640","$1,411,971",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treveon Graham,,,,,"$1,645,357","$1,745,263","$1,512,601","$1,630,895","$1,312,611","$1,455,904","$543,471","$612,646","$525,093","$597,832",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malcolm Miller,,,,,"$1,588,231","$1,684,668","$457,418","$493,190","$77,250","$85,683",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
