Player,AVG SALARY
Norman Powell,7308237.714285715
Dejounte Murray,6233296.166666667
Malik Beasley,6195433.5
Patrick Beverley,6368847.7272727275
Thaddeus Young,9853199.0
Jonas Valanciunas,11557204.0
Marcus Smart,8693754.125
Doug McDermott,6115609.875
Christian Wood,5355539.166666667
Derrick Rose,12190270.42857143
Luke Kennard,5911472.0
Taurean Prince,6327179.333333333
Brook Lopez,12704913.857142856
Kentavious Caldwell-Pope,8967139.222222222
Joe Ingles,8762117.375
Kyle Kuzma,4449937.6
Robert Covington,7950322.111111111
TJ Warren,7554342.25
Deandre Ayton,10537523.5
Terrence Ross,8760994.1
Jordan Clarkson,10090909.0
Dillon Brooks,5664420.4
Kelly Olynyk,8631958.0
Nicolas Batum,13271145.142857144
Josh Hart,4212468.6
Jusuf Nurkic,7479241.125
Kelly Oubre,7707594.857142857
Josh Richardson,6730505.571428572
Marvin Bagley,9430425.75
DeAndre Jordan,12979104.142857144
Dwight Powell,8123982.125
Devonte Graham,3830554.25
Zion Williamson,10627057.0
Larry Nance Jr,6184364.857142857
Jeremy Lamb,6671942.9
Richaun Holmes,3778873.714285714
Reggie Jackson,8115572.181818182
Al-Farouq Aminu,6605112.75
Anthony Edwards,10264493.5
Luka Doncic,8472599.25
Cade Cunningham,10050120.0
Tomas Satoransky,6847329.166666667
Danny Green,7775469.076923077
Tristan Thompson,11846086.909090908
Kyle Anderson,5646724.0
Jae Crowder,6067966.8
Derrick Favors,11144299.083333334
Serge Ibaka,11759993.461538462
Derrick Jones,3996708.1666666665
Montrezl Harrell,5180020.0
Ja Morant,9508241.0
Alec Burks,6890816.7272727275
Reggie Bullock,3372007.777777778
Talen Horton-Tucker,4017559.0
Mason Plumlee,7707761.222222222
Jaren Jackson Jr,4764701.444444444
James Wiseman,9183863.0
Jalen Green,8992080.0
De'Anthony Melton,5354960.5
Royce O'Neale,4373150.0
Nerlens Noel,4328440.555555556
Jakob Poeltl,5105266.0
Maxi Kleber,5711673.0
Thomas Bryant,5665145.4
RJ Barrett,8538497.666666666
Alex Caruso,2440096.8333333335
Delon Wright,5159580.285714285
Dario Saric,4996159.666666667
Monte Morris,2698195.2
Tyus Jones,5090875.142857143
Trae Young,6922300.25
Daniel Theis,4248840.6
LaMelo Ball,8247203.5
Seth Curry,3914296.888888889
JaMychal Green,5169138.125
Cedi Osman,5291520.6
Evan Mobley,8075160.0
De'Andre Hunter,7698367.666666667
DJ Augustin,5060603.785714285
Mo Bamba,6288850.0
Ivica Zubac,4343203.666666667
TJ McConnell,2834673.1428571427
Rajon Rondo,8371621.4375
Patrick Williams,7435723.5
Cory Joseph,6629015.818181818
Scottie Barnes,7280400.0
Darius Garland,6971175.666666667
Chris Boucher,3226797.0
Zach Collins,4899821.0
PJ Tucker,5679453.7272727275
Wendell Carter,5743618.5
Juan Hernangomez,4008115.1666666665
Isaac Okoro,6733371.0
Jalen Suggs,6592920.0
Cameron Payne,2804017.4285714286
Joakim Noah,10514278.6
Jarrett Culver,6331731.0
Khem Birch,3019340.2
Collin Sexton,5264331.0
Onyeka Okongwu,6115679.5
Justin Holiday,3353257.6666666665
Josh Giddey,5988000.0
Rudy Gay,12297586.5
Dennis Schroeder,9049095.0
Patrick Mills,6129448.583333333
Kevin Knox,4841460.5
Coby White,5780085.333333333
Timofey Mozgov,8319937.0
Killian Hayes,5582965.0
Mikal Bridges,4600250.5
Shai Gilgeous-Alexander,4423100.5
Jonathan Kuminga,5466360.0
Miles Bridges,4252193.25
Jaxson Hayes,5295315.0
Pat Connaughton,2494930.8571428573
Kris Dunn,4903208.166666667
George Hill,8670966.57142857
Michael Porter,3929169.5
Dewayne Dedmon,4783693.333333333
Ryan Anderson,9425279.153846154
Hamidou Diallo,2340121.5
Kevon Looney,2991290.1428571427
Troy Brown,3777042.5
Obi Toppin,5114667.0
Franz Wagner,5007840.0
Josh Jackson,5935439.2
JaVale McGee,5788284.785714285
Robin Lopez,7547290.428571428
